rank,name,area,business_type,phone,maps_url,facebook_url,website_url,rating,review_count,social_activity,owner_name,owner_phone_visible,score_tf,score_pg,score_rs,score_or,score_pd,composite,reasoning
84,Kape Bodega,Sucat (San Isidro),cafe,,https://maps.google.com/?q=Kape+Bodega+Sucat+San+Isidro+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but dead online. No FB, no Instagram, no website, zero reviews, zero photos, no phone, no owner name. Walk-in-only play."
85,Presko Coffee BLS,Don Bosco (Better Living),café,,"https://www.google.com/maps/place/Presko+Coffee+BLS/@14.4842784,121.0228973,17z",,,0,0,low,,False,5,1,1,1,3,24,"Perfect cafe template match but near-zero online footprint beyond bare Maps pin. No reviews, no photos, no FB, no Instagram, no phone, no owner."
86,Kapetol Premium Coffee,Don Bosco (Better Living),café,,"https://www.google.com/maps/place/Kapetol+premium+coffee/@14.4877183,121.0244129,17z",,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit. Ghost profile: zero reviews, zero photos, no FB page, no phone, no owner. Effectively invisible online except bare Maps pin."
87,S + Coffee (Sidewalk + Coffee),San Antonio (Fortunata Village),café,,"https://www.google.com/maps/place/S+Coffee+Sidewalk+Coffee/@14.48,121.01,17z",,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but scores bottom on everything else. Zero online presence. Walk-in-only lead. Distinct sidewalk cafe subtype in Fortunata Village."
88,"But First, Coffee (BFC) - Betterliving",Don Bosco (Better Living),café,,"https://www.google.com/maps/place/But+First,+Coffee+(BFC)+-+Betterliving/@14.4857614,121.0265798,17z",,,0,0,low,,False,5,1,1,1,3,24,"Template fit perfect (cafe). Zero online presence: no FB, no website, no reviews, no photos. No phone, no owner. Low-priority prospect."
89,Bicutan Electrical Service,Better Living,electrician,,,,,0,0,low,,False,5,1,1,1,3,24,"Electrician exact template match. Ghost online: zero reviews, zero photos, no FB, no website, no phone. Complete absence of digital presence."
90,Ream Electrical Services,Better Living,electrician,,https://www.google.com/maps/place/Ream+Electrical+services/data=!4m7!3m6!1s0x3397cf794aa68bbd:0xfb0dc3ab631b4724!8m2!3d14.4876294!4d121.0230384!16s%2Fg%2F11pzy73gk2,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template match but ghost online: zero reviews, zero photos, no FB, no phone, no owner name. Exists only as Maps pin with no data."
91,Nautical Cut Barber Shop,Sucat (Better Living),barbershop,,https://maps.google.com/?q=Nautical+Cut+Barber+Shop+Better+Living+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Barbershop exact template match. Zero online presence: no website, no FB, no reviews, no photos, no phone. Completely invisible on Google."
92,AAC Advanced Electrical Services,BF Homes Paranaque,electrician,,https://www.google.com/maps/search/AAC+Advanced+Electrical+Services+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but near-zero online footprint -- no FB page, no reviews, no photos, no phone, no owner name. Ghost online. Call hook: You don't exist online."
93,IKE LOZADA PLUMBING SERVICES,Sucat (Ipil Ville),plumber,,https://maps.google.com/?q=IKE+LOZADA+PLUMBING+SERVICES+Ipil+Ville+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but near-total invisibility. Zero reviews, zero photos, no FB, no phone, no owner. Ghost listing on Maps only."
94,Noriel Plumbing Services,Don Bosco,plumber,,https://www.google.com/maps/search/Noriel+Plumbing+Services+Parañaque,,,0,0,low,,False,5,1,1,1,3,24,"Plumber exact template match. Zero online presence: no FB, no reviews, no photos, no phone, no owner. Only path is cold outreach with no intel."
95,Rey Electrical Center,Don Bosco (Better Living),electrician,,https://www.google.com/maps/search/Rey+Electrical+Center+244+Doña+Soledad+Ext+Better+Living+Parañaque,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit. Zero online presence: no FB, no Instagram, no website, no reviews, no photos, no phone. Electrical supply-and-service shop on Dona Soledad."
96,SIRE Electrical Solutions Inc.,Sucat (Better Living),electrician,,https://maps.google.com/?q=SIRE+Electrical+Solutions+New+Foundland+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit. Near-total digital void: no website, no FB, no reviews, no photos, no phone. Zero discoverability online."
97,Tubero Express PH Plumbing + Declogging Services,San Antonio,plumber,,,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but near-total online invisibility. Zero reviews, zero photos, zero rating, no phone, no owner, no FB/Instagram. Blank slate opportunity."
98,ROYALCUT SALON & BARBERSHOP,San Antonio Valley 1,barbershop,,"https://www.google.com/maps/place/ROYALCUT+SALON+%26+BARBERSHOP,+Unit+1B,+G%26D+Bldg,+SAN+ANTONIO+VALLEY+1,+541+St+Jude,+Parañaque,+1715",,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit as barbershop but ghost online. Zero reviews, zero photos, zero website. No phone, no owner, no FB. Walk-in-only pitch at G&D Building."
99,Dio's Cafe,San Antonio,café,,"https://www.google.com/maps/place/Dio's+Cafe/@14.48,121.01,17z",,,0,0,low,,False,5,1,1,1,3,24,"Cafe exact template match. Zero reviews, zero photos, zero rating, no FB or Instagram, no phone, no owner. Complete absence of online footprint."
100,Presko Coffee BLS,Sucat (Better Living),café,,https://maps.google.com/?q=Presko+Coffee+BLS+Better+Living+Paranaque,,,0,0,low,,False,5,1,1,1,3,24,"Cafe exact template match but ghost online. Zero reviews, zero photos, no FB or Instagram, no phone, no owner name."
101,IKE LOZADA PLUMBING SERVICES,San Isidro,plumber,,https://www.google.com/maps/place/IKE+LOZADA+PLUMBING+SERVICES,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but bottom-tier everything else. Zero online presence: no FB, no reviews, no photos, no phone, no owner. Ghost on Maps."
102,BEYOND BOARDERS: Games and Cafe,San Antonio,cafe,,"https://www.google.com/maps/place/BEYOND+BOARDERS+Games+and+Cafe/@14.48,121.01,17z",,,0,0,low,,False,3,3,1,1,5,24,"Board game cafe adjacent to cafe template but needs adaptation. Moderate presence gap. Zero reviews, zero photos. No phone, no owner. Rare portfolio addition."
103,Pipol's Barber Shop,Sucat (Better Living),barbershop,,https://maps.google.com/?q=Pipols+Barber+Shop+Better+Living+Paranaque,,,0,0,low,,False,5,1,1,1,1,22,"Perfect template fit but ghost online. Zero social media, zero reviews, zero photos, no phone, no owner. Walk-in-only cold approach."
104,"J21 Hardware (Electrical, Plumbing, Lumber, Construction Supply)",San Antonio,electrician,,"https://www.waze.com/en-GB/live-map/directions/ph/ncr/paranaque/j21-hardware-(electrical,-plumbing,-lumber,-construction-supply)?to=place.ChIJO0bmUEXOlzMRDe9_WhdbI-Y",,,0,0,low,,False,3,1,1,1,3,18,"Hardware/construction supply adjacent to trades template. Zero online presence. No FB, no Instagram, no website, no reviews. Only exists on Waze."
105,Bicutan Electrical and Plumbing Supply,Don Bosco (Better Living),electrician,,https://www.google.com/maps/search/Bicutan+Electrical+112+Doña+Soledad+Better+Living+Parañaque,,,0,0,low,,False,3,1,1,1,3,18,"Supply store not service business, TF only 3. Zero online footprint. No website, no FB, no Instagram. No phone, no owner. Walk-in only."
